Road_ID,Length,Numberof_Bends,Trafficvolume,AccidentRisk
1,15.2,4,1230,Medium
2,7.8,10,890,High
3,12.4,7,1500,Low
4,9.5,3,1120,Medium
5,14,8,1340,High
6,6.3,12,780,Low
7,11.7,5,1560,Medium
8,4.9,11,620,High
9,13.2,6,1250,Medium
10,10,9,1020,Low
11,8.4,4,940,High
12,18.1,2,1420,Medium
13,12,7,1100,Low
14,16.7,5,1500,High
15,3.2,14,460,Low
16,9.6,3,980,Medium
17,7.4,10,850,Low
18,13.8,9,1150,High
19,6.7,12,750,Low
20,14.4,8,1230,Medium
21,11.1,6,1480,High
22,5,13,640,Low
23,15.5,5,1320,Medium
24,8.3,9,900,High
25,17,3,1380,Low
26,12.6,7,1550,Medium
27,6.1,11,800,High
28,9.9,4,1070,Low
29,13.3,10,1250,Medium
30,7.2,6,910,High
31,10.4,8,1040,Low
32,16.2,2,1530,Medium
33,5.9,12,780,Low
34,11.8,5,1460,Medium
35,7.1,10,860,High
36,9.2,4,1140,Medium
37,14.5,9,1310,Low
38,3.7,13,470,High
39,18.4,3,1570,Medium
40,12.2,7,1290,Low
41,6.8,8,870,Medium
42,15,11,1190,High
43,10.1,6,990,Low
44,4.3,12,640,Medium
45,14.7,5,1280,High
46,9,9,950,Low
47,17.5,3,1440,Medium
48,11.3,7,1390,Low
49,7.6,10,820,High
50,13.1,4,1220,Medium